date,spot,total_net_gex,gamma_flip,call_res_1,call_res_2,call_res_3,put_sup_1,put_sup_2,put_sup_3,largest_wall,regime
2026-07-11,754.9500122070312,3863524021.155008,751.8120819129558,760.0,757.0,750.0,750.0,745.0,740.0,760.0,positive
2026-07-13,749.1699829101562,-3147133864.473213,752.1983968560932,750.0,760.0,755.0,750.0,745.0,740.0,740.0,negative
2026-07-14,751.8300170898438,-382115032.3683338,752.0505393680651,750.0,755.0,760.0,750.0,745.0,740.0,760.0,negative
